id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
S;SUL;2022-01-05 16:00:00;14956.777
SE;SUDESTE;2022-01-05 16:00:00;46475.814
N;NORTE;2022-01-05 17:00:00;6120.77299999
NE;NORDESTE;2022-01-05 17:00:00;11528.568
S;SUL;2022-01-05 17:00:00;14485.114
SE;SUDESTE;2022-01-05 17:00:00;45239.51399999
N;NORTE;2022-01-05 18:00:00;6007.32599999
NE;NORDESTE;2022-01-05 18:00:00;12216.44899999
S;SUL;2022-01-05 18:00:00;13651.263
SE;SUDESTE;2022-01-05 18:00:00;45573.087
N;NORTE;2022-01-05 19:00:00;6320.107
NE;NORDESTE;2022-01-05 19:00:00;12382.819
S;SUL;2022-01-05 19:00:00;14113.648
SE;SUDESTE;2022-01-05 19:00:00;47983.064
N;NORTE;2022-01-05 20:00:00;6409.645
NE;NORDESTE;2022-01-05 20:00:00;12360.667
S;SUL;2022-01-05 20:00:00;14391.493
SE;SUDESTE;2022-01-05 20:00:00;47702.526
N;NORTE;2022-01-05 21:00:00;6526.088
NE;NORDESTE;2022-01-05 21:00:00;12847.34999999
S;SUL;2022-01-05 21:00:00;14279.487
SE;SUDESTE;2022-01-05 21:00:00;46673.348
N;NORTE;2022-01-05 22:00:00;6623.838
NE;NORDESTE;2022-01-05 22:00:00;12904.739
S;SUL;2022-01-05 22:00:00;13945.18
SE;SUDESTE;2022-01-05 22:00:00;44738.15099999
N;NORTE;2022-01-05 23:00:00;6588.755
NE;NORDESTE;2022-01-05 23:00:00;12563.53599999
S;SUL;2022-01-05 23:00:00;13181.247
SE;SUDESTE;2022-01-05 23:00:00;42297.069
N;NORTE;2022-01-06 00:00:00;6498.11899999
NE;NORDESTE;2022-01-06 00:00:00;12124.638
S;SUL;2022-01-06 00:00:00;12412.29899999
SE;SUDESTE;2022-01-06 00:00:00;39839.95899999
N;NORTE;2022-01-06 01:00:00;6348.978
NE;NORDESTE;2022-01-06 01:00:00;11778.835
S;SUL;2022-01-06 01:00:00;11774.74599999
SE;SUDESTE;2022-01-06 01:00:00;37914.756
N;NORTE;2022-01-06 02:00:00;6174.77599999
NE;NORDESTE;2022-01-06 02:00:00;11483.33999999
S;SUL;2022-01-06 02:00:00;11304.35199999
SE;SUDESTE;2022-01-06 02:00:00;36691.70099999
N;NORTE;2022-01-06 03:00:00;6079.60099999
NE;NORDESTE;2022-01-06 03:00:00;11315.863
S;SUL;2022-01-06 03:00:00;11116.464
SE;SUDESTE;2022-01-06 03:00:00;36047.25199999
N;NORTE;2022-01-06 04:00:00;6073.37199999
NE;NORDESTE;2022-01-06 04:00:00;11249.88899999
S;SUL;2022-01-06 04:00:00;11113.48
SE;SUDESTE;2022-01-06 04:00:00;36095.195
N;NORTE;2022-01-06 05:00:00;5986.744
NE;NORDESTE;2022-01-06 05:00:00;10703.48499999
S;SUL;2022-01-06 05:00:00;11233.438
SE;SUDESTE;2022-01-06 05:00:00;36374.27099999
N;NORTE;2022-01-06 06:00:00;5751.04499999
NE;NORDESTE;2022-01-06 06:00:00;10380.857
S;SUL;2022-01-06 06:00:00;11390.167
SE;SUDESTE;2022-01-06 06:00:00;37194.216
